,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,نود جی اس (Node.js),طراحی بازی ویدئویی,0.00932884166882612,0.0028504793988079814,0.0002591344908007256,0.02777777777777778,9.744949494949495,0.00023254281980899526,1.0256395069040831,0.9058331153544337
1,طراحی بازی ویدئویی,نود جی اس (Node.js),0.0028504793988079814,0.00932884166882612,0.0002591344908007256,0.09090909090909091,9.744949494949495,0.00023254281980899526,1.0897382741642914,0.899948024948025
2,یونیتی (Unity),طراحی بازی ویدئویی,0.003627882871210158,0.0028504793988079814,0.0015548069448043534,0.42857142857142855,150.35064935064935,0.0015444657394186804,1.745011661052086,0.9969657563935848
3,طراحی بازی ویدئویی,یونیتی (Unity),0.0028504793988079814,0.003627882871210158,0.0015548069448043534,0.5454545454545454,150.35064935064935,0.0015444657394186804,2.1920186576833376,0.9961884961884961
4,Golang,طراحی بازی ویدئویی,0.001295672454003628,0.0028504793988079814,0.0002591344908007256,0.19999999999999998,70.16363636363636,0.00025544120316298526,1.24643690075149,0.987026466009341
5,طراحی بازی ویدئویی,Golang,0.0028504793988079814,0.001295672454003628,0.0002591344908007256,0.09090909090909091,70.16363636363636,0.00025544120316298526,1.098574760300596,0.9885654885654885
6,سی شارپ (C#),طراحی بازی ویدئویی,0.016584607411246437,0.0028504793988079814,0.0002591344908007256,0.015625,5.481534090909091,0.00021186040903764945,1.012977290769465,0.831357048748353
7,طراحی بازی ویدئویی,سی شارپ (C#),0.0028504793988079814,0.016584607411246437,0.0002591344908007256,0.09090909090909091,5.481534090909091,0.00021186040903764945,1.081756931847629,0.8199064449064448
8,انیمیشن,طراحی بازی ویدئویی,0.01580720393884426,0.0028504793988079814,0.0002591344908007256,0.016393442622950817,5.751117734724291,0.00021407638162029364,1.0137686792778786,0.8393891521853608
9,طراحی بازی ویدئویی,انیمیشن,0.0028504793988079814,0.01580720393884426,0.0002591344908007256,0.09090909090909091,5.751117734724292,0.00021407638162029364,1.0826120756672712,0.8284823284823284
10,برنامه نویسی و ساخت اپلیکیشن اندروید (Android),طراحی بازی ویدئویی,0.041720653018916816,0.0028504793988079814,0.0005182689816014512,0.012422360248447206,4.357989836250706,0.00039934511966621276,1.0096922818666159,0.8040832882639265
11,طراحی بازی ویدئویی,برنامه نویسی و ساخت اپلیکیشن اندروید (Android),0.0028504793988079814,0.041720653018916816,0.0005182689816014512,0.18181818181818182,4.357989836250706,0.00039934511966621276,1.1712303129768795,0.7727390852390852
12,Mobile Phone,طراحی بازی ویدئویی,0.03861103912930811,0.0028504793988079814,0.0002591344908007256,0.006711409395973154,2.354484441732764,0.00014907451919606395,1.003887017362011,0.5983827493261455
13,طراحی بازی ویدئویی,Mobile Phone,0.0028504793988079814,0.03861103912930811,0.0002591344908007256,0.09090909090909091,2.354484441732764,0.00014907451919606395,1.057527856957761,0.5769230769230769
14,برنامه نویسی موبایل,طراحی بازی ویدئویی,0.043534594454521895,0.0028504793988079814,0.0005182689816014512,0.011904761904761906,4.176406926406926,0.0003941745169733763,1.0091633702469895,0.7951774586832836
15,طراحی بازی ویدئویی,برنامه نویسی موبایل,0.0028504793988079814,0.043534594454521895,0.0005182689816014512,0.18181818181818182,4.176406926406926,0.0003941745169733763,1.1690132734444734,0.7627338877338876
16,جاوا اسکریپت (JavaScript),طراحی بازی ویدئویی,0.04223892200051827,0.0028504793988079814,0.0002591344908007256,0.006134969325153374,2.1522587841606247,0.00013873331381039104,1.0033047645555202,0.5589826839826839
17,طراحی بازی ویدئویی,جاوا اسکریپت (JavaScript),0.0028504793988079814,0.04223892200051827,0.0002591344908007256,0.09090909090909091,2.1522587841606247,0.00013873331381039104,1.05353718579943,0.5369022869022869
18,طراحی گرافیک,طراحی بازی ویدئویی,0.031096138896087068,0.0028504793988079814,0.0002591344908007256,0.008333333333333333,2.9234848484848484,0.00017049558749495785,1.0055289283373365,0.6790585718106447
19,طراحی بازی ویدئویی,طراحی گرافیک,0.0028504793988079814,0.031096138896087068,0.0002591344908007256,0.09090909090909091,2.923484848484849,0.00017049558749495785,1.0657942472143043,0.6598232848232849
20,برنامه نویسی سی پلاس پلاس (C++),طراحی بازی ویدئویی,0.006737496760818865,0.0028504793988079814,0.0002591344908007256,0.038461538461538464,13.493006993006993,0.0002399293950844759,1.0370355014252397,0.9321680146099661
21,طراحی بازی ویدئویی,برنامه نویسی سی پلاس پلاس (C++),0.0028504793988079814,0.006737496760818865,0.0002591344908007256,0.09090909090909091,13.493006993006993,0.0002399293950844759,1.0925887535630991,0.9285343035343034
22,برنامه نویسی تحت ویندوز,طراحی بازی ویدئویی,0.023581238662866027,0.0028504793988079814,0.0002591344908007256,0.01098901098901099,3.8551448551448555,0.00019191665579385171,1.008228959718983,0.7584925690021231
23,طراحی بازی ویدئویی,برنامه نویسی تحت ویندوز,0.0028504793988079814,0.023581238662866027,0.0002591344908007256,0.09090909090909091,3.8551448551448555,0.00019191665579385171,1.0740606374708475,0.7427234927234927
24,جاوا (Java),طراحی بازی ویدئویی,0.009847110650427572,0.0028504793988079814,0.0002591344908007256,0.026315789473684213,9.232057416267944,0.00023106550475389913,1.0240995076444674,0.9005495943470295
25,طراحی بازی ویدئویی,جاوا (Java),0.0028504793988079814,0.009847110650427572,0.0002591344908007256,0.09090909090909091,9.232057416267942,0.00023106550475389913,1.0891681782845297,0.8942307692307692
26,برنامه نویسی فرانت اند,طراحی بازی ویدئویی,0.0033687483804094327,0.0028504793988079814,0.0002591344908007256,0.07692307692307693,26.986013986013987,0.00024953194294260073,1.0802453139846246,0.9661986479459177
